Сегмент;Субсидии;Компания сегмента;Банк;вид кредита;Проект;Область;Номер;Тело кредита;Дата выдачи;Валюта;Дата погашения;Долг/Кратк;привлеч;погашен;привлеч;погашен;% ставка;% субсидии;% Эффективная;Сумма;субсидируемая сумма;привлеч;погашен;% ставка;% субсидии;% Эффективная;Сумма;субсидируемая сумма;привлеч;погашен;% ставка;% субсидии;% Эффективная;Сумма;субсидируемая сумма;привлеч;погашен;% ставка;% субсидии;% Эффективная;Сумма;субсидируемая сумма;привлеч;погашен;% ставка;% субсидии;% Эффективная;Сумма;субсидируемая сумма;привлеч;погашен;% ставка;% субсидии;% Эффективная;Сумма;субсидируемая сумма;привлеч;погашен;% ставка;% субсидии;% Эффективная;Сумма;субсидируемая сумма;привлеч;погашен;% ставка;% субсидии;% Эффективная;Сумма;субсидируемая сумма;привлеч;погашен;% ставка;% субсидии;% Эффективная;Сумма;субсидируемая сумма;привлеч;погашен;% ставка;% субсидии;% Эффективная;Сумма;субсидируемая сумма;привлеч;погашен;% ставка;% субсидии;% Эффективная;Сумма;субсидируемая сумма;привлеч;погашен;% ставка;% субсидии;% Эффективная;Сумма;субсидируемая сумма;привлеч;погашен
Poultry;да;Уральская Мясная Компания;Сбербанк;1528;;Челябинск;№160B00UVQMF;294 000;02.04.2024;RUR;02.04.2025;ST; -   ; -   ;;;6,80%;0,00%;0,00%;-;-;;;6,80%;0,00%;0,00%;-;-;;;6,80%;0,00%;0,00%;-;-;294 000;;6,80%;0,00%;6,80%;294 000;294 000;;;6,80%;0,00%;6,80%;294 000;294 000;;;6,80%;0,00%;6,80%;294 000;294 000;;;7,40%;0,00%;7,40%;294 000;294 000;;;7,40%;0,00%;7,40%;294 000;294 000;;;7,70%;0,00%;7,70%;294 000;294 000;;;8,30%;0,00%;8,30%;294 000;294 000;;;8,30%;0,00%;8,30%;294 000;294 000;;;8,30%;0,00%;8,30%;294 000;294 000;294 000;0,00
Poultry;да;Уральская Мясная Компания;Сбербанк;1528;;Челябинск;№ 160B01ACDMF;100 000;26.05.2025;RUR;25.05.2026;ST; -   ; -   ;;;10,00%;0,00%;0,00%;-;-;;;10,00%;0,00%;0,00%;-;-;;;10,00%;0,00%;0,00%;-;-;;;10,00%;0,00%;0,00%;-;-;;;10,00%;0,00%;0,00%;-;-;-;;10,00%;0,00%;0,00%;-;-;-;;10,00%;0,00%;0,00%;-;-;-;;10,00%;0,00%;0,00%;-;-;-;;10,00%;0,00%;0,00%;-;-;;;12,00%;0,00%;0,00%;-;-;;;12,00%;0,00%;0,00%;-;-;;;12,50%;0,00%;0,00%;-;-;-;0,00
Poultry;да;Уральская Мясная Компания;Сбербанк;1528;;Челябинск;№ 160B01ACFMF;50 000;26.05.2025;RUR;25.05.2026;ST; -   ; -   ;;;10,00%;0,00%;0,00%;-;-;;;10,00%;0,00%;0,00%;-;-;;;10,00%;0,00%;0,00%;-;-;;;10,00%;0,00%;0,00%;-;-;;;10,00%;0,00%;0,00%;-;-;-;;10,00%;0,00%;0,00%;-;-;-;;10,00%;0,00%;0,00%;-;-;-;;10,00%;0,00%;0,00%;-;-;-;;10,00%;0,00%;0,00%;-;-;;;12,00%;0,00%;0,00%;-;-;;;12,00%;0,00%;0,00%;-;-;;;12,50%;0,00%;0,00%;-;-;-;0,00
Poultry;да;Уральская Мясная Компания;Сбербанк;1528;;Челябинск;№ 160B01ACHMF;100 000;26.05.2025;RUR;25.05.2026;ST; -   ; -   ;;;10,00%;0,00%;0,00%;-;-;;;10,00%;0,00%;0,00%;-;-;;;10,00%;0,00%;0,00%;-;-;;;10,00%;0,00%;0,00%;-;-;;;10,00%;0,00%;0,00%;-;-;-;;10,00%;0,00%;0,00%;-;-;-;;10,00%;0,00%;0,00%;-;-;-;;10,00%;0,00%;0,00%;-;-;-;;10,00%;0,00%;0,00%;-;-;;;12,00%;0,00%;0,00%;-;-;;;12,00%;0,00%;0,00%;-;-;;;12,50%;0,00%;0,00%;-;-;-;0,00
Poultry;да;Уральская Мясная Компания;Сбербанк;1528;;Челябинск;№ 160B019JKMF;50 000;26.05.2025;RUR;25.05.2026;ST; -   ; -   ;;;10,00%;0,00%;0,00%;-;-;;;10,00%;0,00%;0,00%;-;-;;;10,00%;0,00%;0,00%;-;-;;;10,00%;0,00%;0,00%;-;-;;;10,00%;0,00%;0,00%;-;-;-;;10,00%;0,00%;0,00%;-;-;-;;10,00%;0,00%;0,00%;-;-;-;;10,00%;0,00%;0,00%;-;-;-;;10,00%;0,00%;0,00%;-;-;;;12,00%;0,00%;0,00%;-;-;;;12,00%;0,00%;0,00%;-;-;;;12,50%;0,00%;0,00%;-;-;-;0,00
Poultry;да;Уральская Мясная Компания;Сбербанк;1528;;Челябинск;№ 160B01CW1MF;200 000;18.08.2025;RUR;17.08.2026;ST; -   ; -   ;;;10,00%;0,00%;0,00%;-;-;;;10,00%;0,00%;0,00%;-;-;;;10,00%;0,00%;0,00%;-;-;;;10,00%;0,00%;0,00%;-;-;;;10,00%;0,00%;0,00%;-;-;-;;10,00%;0,00%;0,00%;-;-;-;;10,00%;0,00%;0,00%;-;-;-;;10,00%;0,00%;0,00%;-;-;-;;10,00%;0,00%;0,00%;-;-;;;12,00%;0,00%;0,00%;-;-;;;12,00%;0,00%;0,00%;-;-;;;12,50%;0,00%;0,00%;-;-;-;0,00
Poultry;да;Уральская Мясная Компания;Сбербанк;1528;;Челябинск;№ 160B01CYBMF;100 000;29.08.2025;RUR;28.08.2026;ST; -   ; -   ;;;10,00%;0,00%;0,00%;-;-;;;10,00%;0,00%;0,00%;-;-;;;10,00%;0,00%;0,00%;-;-;;;10,00%;0,00%;0,00%;-;-;;;10,00%;0,00%;0,00%;-;-;-;;10,00%;0,00%;0,00%;-;-;-;;10,00%;0,00%;0,00%;-;-;-;;10,00%;0,00%;0,00%;-;-;-;;10,00%;0,00%;0,00%;-;-;;;12,00%;0,00%;0,00%;-;-;;;12,00%;0,00%;0,00%;-;-;;;12,50%;0,00%;0,00%;-;-;-;0,00
Poultry;Нет;АО Куриное Царство;Сбербанк;не субс;;;KR/8217/3/O;5 000 000;12.07.2024;RUR;31.07.2024;ST; -   ; -   ;-;;15,20%;0,00%;0,00%;-;-;;;15,20%;0,00%;0,00%;-;-;-;;15,20%;0,00%;0,00%;-;-;-;;15,20%;0,00%;0,00%;-;-;-;;15,20%;0,00%;0,00%;-;-;-;;15,20%;0,00%;0,00%;-;-;5 000 000;5 000 000;19,80%;0,00%;0,00%;-;-;-;-;19,80%;0,00%;0,00%;-;-;-;-;19,80%;0,00%;0,00%;-;-;-;-;19,80%;0,00%;0,00%;-;-;-;-;19,80%;0,00%;0,00%;-;-;-;-;17,80%;0,00%;0,00%;-;-;5 000 000;5 000 000,00
Poultry;Да;АО Куриное Царство;ВТБ;1528;;;№ КС-25000/0002/В-24;1 346 694;24.06.2024;RUR;29.08.2029;LT;0,00; -   ;;;2,40%;0,00%;0,00%;-;-;;;2,40%;0,00%;0,00%;-;-;;;2,40%;0,00%;0,00%;-;-;;;2,40%;0,00%;0,00%;-;-;;;2,40%;0,00%;0,00%;-;-;1 346 694;-;2,40%;0,00%;2,40%;1 346 694;1 346 694;;;2,40%;0,00%;2,40%;1 346 694;1 346 694;;;2,40%;0,00%;2,40%;1 346 694;1 346 694;;;2,40%;0,00%;2,40%;1 346 694;1 346 694;;;2,40%;0,00%;2,40%;1 346 694;1 346 694;;;2,40%;0,00%;2,40%;1 346 694;1 346 694;;;2,40%;0,00%;2,40%;1 346 694;1 346 694;1 346 694;0,00
Poultry;Да;АО Куриное Царство;ВТБ;1528;;;№ КС-25000/0003/В-24;1 550 326;24.06.2024;RUR;29.08.2029;LT;0,00; -   ;;;2,40%;0,00%;0,00%;-;-;;;2,40%;0,00%;0,00%;-;-;;;2,40%;0,00%;0,00%;-;-;;;2,40%;0,00%;0,00%;-;-;;;2,40%;0,00%;0,00%;-;-;1 550 326;-;2,40%;0,00%;2,40%;1 550 326;1 550 326;;;2,40%;0,00%;2,40%;1 550 326;1 550 326;;;2,40%;0,00%;2,40%;1 550 326;1 550 326;;;2,40%;0,00%;2,40%;1 550 326;1 550 326;;;2,40%;0,00%;2,40%;1 550 326;1 550 326;;;2,40%;0,00%;2,40%;1 550 326;1 550 326;;;2,40%;0,00%;2,40%;1 550 326;1 550 326;1 550 326;0,00
Feed;Да;АО Куриное Царство;Россельхозбанк;1528;;Алтай;№ 241500/0003 (2 сегмента);9 500 000;26.01.2024;RUR;20.01.2032;LT;0,00; -   ;-;;5,00%;0,00%;0,00%;-;-;-;;5,00%;0,00%;0,00%;-;-;791 415;;5,00%;0,00%;5,00%;791 415;791 415;249 464;;5,00%;0,00%;5,00%;1 040 879;1 040 879;252 060;;5,00%;0,00%;5,00%;1 292 939;1 292 939,252;353 397;;5,00%;0,00%;5,00%;1 646 336;1 646 336;223 137;;5,00%;0,00%;5,00%;1 869 473;1 869 473;400 980;;5,00%;0,00%;5,00%;2 270 452;2 270 452;613 613;;5,00%;0,00%;5,00%;2 884 065;2 884 065;454 831;;5,00%;0,00%;5,00%;3 338 896;3 338 896;498 773;;5,00%;0,00%;5,00%;3 837 669;3 837 669;294 794;;5,00%;0,00%;5,00%;4 132 463;4 132 463;4 132 463;0,00
Poultry;Да;АО Куриное Царство;Россельхозбанк;512;;;№ 241500/0097;5 000 000;21.06.2024;RUR;17.06.2026;ST; -   ; -   ;;;10,00%;0,00%;0,00%;-;-;;;10,00%;0,00%;0,00%;-;-;;;10,00%;0,00%;0,00%;-;-;;;10,00%;0,00%;0,00%;-;-;-;;10,00%;0,00%;0,00%;-;-;300 000;;10,00%;0,00%;10,00%;300 000;300 000;-;;11,00%;0,00%;11,00%;300 000;300 000;;;11,00%;0,00%;11,00%;300 000;300 000;;;11,50%;0,00%;11,50%;300 000;300 000;;;12,50%;0,00%;12,50%;300 000;300 000;;;12,50%;0,00%;12,50%;300 000;300 000;;;12,50%;0,00%;12,50%;300 000;300 000;300 000;0,00
Feed;Да;АО Куриное Царство;Россельхозбанк;512;;;№ 241500/0097;5 000 000;21.06.2024;RUR;17.06.2026;ST;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10,00%;;;;;4 700 000;;10,00%;0,00%;10,00%;4 700 000;4 700 000;-;;11,00%;0,00%;11,00%;4 700 000;4 700 000;;;11,00%;0,00%;11,00%;4 700 000;4 700 000;;;11,50%;0,00%;11,50%;4 700 000;4 700 000;;;12,50%;0,00%;12,50%;4 700 000;4 700 000;;;12,50%;0,00%;12,50%;4 700 000;4 700 000;;;12,50%;0,00%;12,50%;4 700 000;4 700 000;4 700 000;0,00
Poultry;нет;АО Куриное Царство;Газпромбанк;не субс;;;№4924-0018-КЛ (RUONIA+2,5%);10 000 000;11.04.2024;RUR;12.07.2024;ST; -   ; -   ;;;12,80%;0,00%;0,00%;-;-;;-;12,80%;0,00%;0,00%;-;-;;;17,45%;0,00%;0,00%;-;-;7 800 000;2 500 000;18,00%;0,00%;18,00%;5 300 000;-;;;18,00%;0,00%;18,00%;5 300 000;-;;;18,54%;0,00%;18,54%;5 300 000;-;;5 300 000;18,54%;0,00%;0,00%;-;-;;;0,00%;0,00%;0,00%;-;-;;;0,00%;0,00%;0,00%;-;-;;;0,00%;0,00%;0,00%;-;-;;;0,00%;0,00%;0,00%;-;-;;;0,00%;0,00%;0,00%;-;-;7 800 000;7 800 000,00
Poultry;Нет;АО Куриное Царство;Райффайзенбанк;не субс;;;№69526/2-MSK;4 300 000;07.02.2024;RUR;31.12.2025;ST; -   ; -   ;;;17,10%;0,00%;0,00%;-;-;;;17,10%;0,00%;0,00%;-;-;;;17,10%;0,00%;0,00%;-;-;2 000 000;2 000 000;17,10%;0,00%;0,00%;-;-;;;17,10%;0,00%;0,00%;-;-;;;17,10%;0,00%;0,00%;-;-;;;17,10%;0,00%;0,00%;-;-;;;17,10%;0,00%;0,00%;-;-;;;17,10%;0,00%;0,00%;-;-;;;17,10%;0,00%;0,00%;-;-;;;17,10%;0,00%;0,00%;-;-;;;17,10%;0,00%;0,00%;-;-;2 000 000;2 000 000,00
Grain;Да;АО Куриное Царство;Альфа-Банк ;1528;;Алтай;№ 0EY37L;50 000;17.06.2024;RUR;16.06.2025;ST; -   ; -   ;;;6,80%;0,00%;0,00%;-;-;;-;6,80%;0,00%;0,00%;-;-;;;6,80%;0,00%;0,00%;-;-;;;6,80%;0,00%;0,00%;-;-;;;6,80%;0,00%;0,00%;-;-;162;;10,00%;0,00%;10,00%;162;162;1 911;;11,00%;0,00%;11,00%;2 073;2 073;3 640;;11,00%;0,00%;11,00%;5 713;5 713;3 479;;11,50%;0,00%;11,50%;9 192;9 192;8 266;;12,50%;0,00%;12,50%;17 458;17 458;14 873;;12,50%;0,00%;12,50%;32 331;32 331;4 227;;12,50%;0,00%;12,50%;36 558;36 558;36 558;0,00
Poultry;Да;АО Куриное Царство;Россельхозбанк;Other subs;;Московская;№ 241500/0152;460 000;24.09.2024;RUR;20.09.2032;LT; -   ; -   ;;;6,80%;0,00%;0,00%;-;-;;;6,80%;0,00%;0,00%;-;-;;;6,80%;0,00%;0,00%;-;-;;;6,80%;0,00%;0,00%;-;-;;;6,80%;0,00%;0,00%;-;-;;;6,80%;0,00%;0,00%;-;-;;;6,80%;0,00%;0,00%;-;-;;;6,80%;0,00%;0,00%;-;-;-;;4,20%;0,00%;0,00%;-;-;-;;4,20%;0,00%;0,00%;-;-;-;;4,20%;0,00%;0,00%;-;-;-;;4,20%;0,00%;0,00%;-;-;-;0,00
Poultry;Да;АО Куриное Царство;Россельхозбанк;Other subs;;Курская;№ 241500/0151;350 000;24.09.2024;RUR;20.09.2032;LT; -   ; -   ;;;6,80%;0,00%;0,00%;-;-;;;6,80%;0,00%;0,00%;-;-;;;6,80%;0,00%;0,00%;-;-;;;6,80%;0,00%;0,00%;-;-;;;6,80%;0,00%;0,00%;-;-;;;6,80%;0,00%;0,00%;-;-;;;6,80%;0,00%;0,00%;-;-;;;6,80%;0,00%;0,00%;-;-;-;;4,20%;0,00%;0,00%;-;-;-;;4,20%;0,00%;0,00%;-;-;-;;4,20%;0,00%;0,00%;-;-;108 678;;4,20%;0,00%;4,20%;108 678;108 678;108 678;0,00
Poultry;Нет;АО Куриное Царство;Банк 3;не субс;;;№ ВКЛ_БО-15/25;3 500 000;12.03.2025;RUR;11.06.2026;MT; -   ; -   ;;;6,80%;0,00%;0,00%;-;-;;;6,80%;0,00%;0,00%;-;-;;;6,80%;0,00%;0,00%;-;-;;;6,80%;0,00%;0,00%;-;-;;;6,80%;0,00%;0,00%;-;-;;;6,80%;0,00%;0,00%;-;-;;;6,80%;0,00%;0,00%;-;-;;;6,80%;0,00%;0,00%;-;-;;;6,80%;0,00%;0,00%;-;-;-;;14,00%;0,00%;0,00%;-;-;-;;14,00%;0,00%;0,00%;-;-;;;14,00%;0,00%;0,00%;-;-;-;0,00
Poultry;Нет;АО Куриное Царство;Банк 3;не субс;;;ВКЛ_БО-24/24;3 000 000;30.09.2024;RUR;30.09.2026;MT; -   ; -   ;;;6,80%;0,00%;0,00%;-;-;;;6,80%;0,00%;0,00%;-;-;;;6,80%;0,00%;0,00%;-;-;;;6,80%;0,00%;0,00%;-;-;;;6,80%;0,00%;0,00%;-;-;;;6,80%;0,00%;0,00%;-;-;;;6,80%;0,00%;0,00%;-;-;;;6,80%;0,00%;0,00%;-;-;;;6,80%;0,00%;0,00%;-;-;-;;14,00%;0,00%;0,00%;-;-;-;;14,00%;0,00%;0,00%;-;-;;;14,00%;0,00%;0,00%;-;-;-;0,00
Poultry;Нет;АО Куриное Царство;Россельхозбанк;не субс;;;№ 241500/0146;10 000 000;13.09.2024;RUR;10.09.2027;MT; -   ; -   ;;;0,00%;0,00%;0,00%;-;-;;;0,00%;0,00%;0,00%;-;-;;;0,00%;0,00%;0,00%;-;-;;;0,00%;0,00%;0,00%;-;-;;;0,00%;0,00%;0,00%;-;-;;;0,00%;0,00%;0,00%;-;-;;;0,00%;0,00%;0,00%;-;-;;;0,00%;0,00%;0,00%;-;-;10 000 000;;20,50%;0,00%;20,50%;10 000 000;-;;;22,50%;0,00%;22,50%;10 000 000;-;;;22,50%;0,00%;22,50%;10 000 000;-;;;22,50%;0,00%;22,50%;10 000 000;-;10 000 000;0,00
Poultry;Нет;АО Куриное Царство;Россельхозбанк;не субс;;;№ 241500/0161;10 000 000;28.10.2024;RUR;22.10.2032;MT; -   ; -   ;;;0,00%;0,00%;0,00%;-;-;;;0,00%;0,00%;0,00%;-;-;;;0,00%;0,00%;0,00%;-;-;;;0,00%;0,00%;0,00%;-;-;;;0,00%;0,00%;0,00%;-;-;;;0,00%;0,00%;0,00%;-;-;;;0,00%;0,00%;0,00%;-;-;;;0,00%;0,00%;0,00%;-;-;-;;20,50%;0,00%;0,00%;-;-;10 000 000;;23,10%;0,00%;23,10%;10 000 000;-;-;;23,10%;0,00%;23,10%;10 000 000;-;;;23,10%;0,00%;23,10%;10 000 000;-;10 000 000;0,00
Poultry;Нет;АО Куриное Царство;Россельхозбанк;не субс;;;Новый 2024;5 000 000;01.11.2024;RUR;22.10.2032;LT; -   ; -   ;;;0,00%;0,00%;0,00%;-;-;;;0,00%;0,00%;0,00%;-;-;;;0,00%;0,00%;0,00%;-;-;;;0,00%;0,00%;0,00%;-;-;;;0,00%;0,00%;0,00%;-;-;;;0,00%;0,00%;0,00%;-;-;;;0,00%;0,00%;0,00%;-;-;;;0,00%;0,00%;0,00%;-;-;-;;20,50%;0,00%;0,00%;-;-;-;;21,50%;0,00%;0,00%;-;-;-;;21,50%;0,00%;0,00%;-;-;;;21,50%;0,00%;0,00%;-;-;-;0,00
Poultry;Нет;АО Куриное Царство;Уралсиб;не субс;;;№ 0001-031/00287;5 000 000;26.02.2025;RUR;26.02.2030;LT; -   ; -   ;;;0,00%;0,00%;0,00%;-;-;;;0,00%;0,00%;0,00%;-;-;;;0,00%;0,00%;0,00%;-;-;;;0,00%;0,00%;0,00%;-;-;;;0,00%;0,00%;0,00%;-;-;;;0,00%;0,00%;0,00%;-;-;;;0,00%;0,00%;0,00%;-;-;;;0,00%;0,00%;0,00%;-;-;-;;20,50%;0,00%;0,00%;-;-;-;;21,50%;0,00%;0,00%;-;-;-;;21,50%;0,00%;0,00%;-;-;;;21,50%;0,00%;0,00%;-;-;-;0,00
Pork;Нет;ООО ЧЕРКИЗОВО-СВИНОВОДСТВО;Банк Санкт-Петербург;не субс;;;7700-22-001011;1 000 000;02.07.2024;RUR;14.08.2024;ST; -   ; -   ;-;;15,20%;0,00%;0,00%;-;-;;;15,20%;0,00%;0,00%;-;-;-;;15,20%;0,00%;0,00%;-;-;-;;15,20%;0,00%;0,00%;-;-;-;;15,20%;0,00%;0,00%;-;-;-;;15,20%;0,00%;0,00%;-;-;1 000 000;-;19,50%;0,00%;19,50%;1 000 000;-;-;1 000 000;19,50%;0,00%;0,00%;-;-;-;-;19,50%;0,00%;0,00%;-;-;-;-;19,50%;0,00%;0,00%;-;-;-;-;19,50%;0,00%;0,00%;-;-;-;-;19,50%;0,00%;0,00%;-;-;1 000 000;1 000 000,00
